ஊஷ்L	N_NN	B-NP	URL,unk,,,,,,	o
ண்	RD_PUNC	I-NP	N,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
ண்ண்	RD_ECH	I-NP	NN,unk,,,,,,	o
B-ண்P	RD_ECH	B-VGNF	B-NP,unk,,,,,,	{MCL}

ஷ்D	N_NNP	B-NP	RD,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
Pஊண்C	N_NN	B-NP	PUNC,unk,,,,,,	o
ஈ-ண்P	N_NN	I-NP	I-NP,unk,,,,,,	o
&dஓட்	N_NN	I-NP	&dot,unk,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
புந்ச்	N_NN	B-NP	punc,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஓ	RP_INJ	B-NP	o,FW,,,,,	o
dஅஇல்ய்ட்ஹந்ட்ஹி	N_NN	I-NP	dailythanthi,unk,,,,,,	o
ண்	RD_SYM	I-NP	N,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
ண்ண்P	N_NN	I-NP	NNP,unk,,,,,,	o
B	RD_PUNC	I-NP	B,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ண்P	N_NNP	B-NP	NP,unk,,,,,,	o
dஅஇல்ய்ட்ஹந்ட்ஹி	N_NNP	I-NP	dailythanthi,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
உந்க்	PR_PRP	B-NP	unk,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஓ	RP_INJ	B-NP	o,FW,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஷ்D	N_NNP	B-NP	RD,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
Pஊண்C	N_NN	B-NP	PUNC,unk,,,,,,	{MCL}
ஈ-ண்P	N_NN	I-NP	I-NP,unk,,,,,,	o
&dஓட்	N_NN	I-NP	&dot,unk,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
புந்ச்	N_NN	B-NP	punc,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஓ	RP_INJ	B-NP	o,FW,,,,,	o
சோம்	N_NN	I-NP	com,N,,,,,	o
ண்	RD_SYM	I-NP	N,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
ண்ண்	RD_ECH	B-VGNF	NN,unk,,,,,,	o
B-ண்P	RD_ECH	I-VGNF	B-NP,unk,,,,,,	o
சோம்	RD_ECH	I-VGNF	com,N,,,,,	o
,	RD_PUNC	I-VGNF	&comma;,punc,,,,,	o
ண்	RD_SYM	B-NP	N,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
{	RD_PUNC	B-NP	{,unk,,,,,,	o
MCL	N_NN	B-NP	MCL,unk,,,,,,	o
}	RD_PUNC	I-NP	},unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
ஷ்D	QT_QTC	I-NP	RD,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
Pஊண்C	N_NN	B-NP	PUNC,unk,,,,,,	o
ஈ-ண்P	N_NN	I-NP	I-NP,unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
புந்ச்	N_NNP	B-NP	punc,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
,	RD_PUNC	B-NP	&comma;,punc,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
