ஊஷ்L	N_NN	B-NP	URL,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ஹ்ட்ட்ப்	N_NN	B-NP	http,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
/	RD_PUNC	B-NP	/,punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
டமில்	N_NN	B-NP	tamil,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஙில்மிbஏஅட்	N_NNP	B-NP	filmibeat,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

சோம்	N_NN	B-NP	com,N,,,,,	{MCL}
/	RD_PUNC	I-NP	/,punc,,,,,,	o
நேத்ஸ்	N_NN	B-NP	news,unk,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
மலய்ஸிஅந்-ப்ம்-மேஏட்-ரஜிநிகந்ட்ஹ்	N_NN	B-NP	malaysian-pm-meet-rajinikanth,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ச்ஹேந்நஇ-045501	V_VM_VF	B-VGF	chennai-045501,unk,,,,,,	o
.	RD_PUNC	I-VGF	&dot;,punc,,,,,,	{/MCL}

ஹ்ட்ம்ல்	N_NN	B-NP	html,N,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
!	RD_PUNC	I-NP	!,punc,,,,,,	o

DஔCTYPஐ	N_NN	B-NP	DOCTYPE,unk,,,,,,	{RP}
ஹ்ட்ம்ல்	N_NN	I-NP	html,N,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
ஹ்ட்ம்ல்	N_NN	B-NP	html,N,,,,,	o
லந்g	N_NN	I-NP	lang,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ட	RD_ECH	I-NP	tanY,N,a-ADJ,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
>	RD_SYM	I-NP	&gt;,punc,,,,,	o
<	RD_SYM	I-NP	&lt;,punc,,,,,	o
ஹேஅd	N_NNP	I-NP	head,unk,,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
மேட	N_NNP	B-NP	metam,N,a-ADJ,,,,	o
ஹ்ட்ட்ப்-ஏqஉஇவ்	N_NNP	I-NP	http-equiv,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
Cஓந்டேந்ட்	N_NNP	B-NP	Content,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
Tய்பே	RD_RDF	B-NP	Type,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	B-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
