c#IrAkkil	N_NNP	B-NP	1	IrAk	IrA	kkil	kil	{MCL}	B-LOCATION	IrAk,N,il-LOC,,,,
c#E.eVs.	N_NNP	B-NP	1	E.eV	E.e	eVs.	Vs.	o	B-ORGANIZATION	E.eVs.,unk,,,,,,
payafkaravAwa	JJ	B-NP	0	paya	pay	vAwa	Awa	o	o	payafkaravAwam,N,a-ADJ,,,,
wAkkuwal	N_NN	I-NP	0	wAkk	wAk	uwal	wal	o	o	wAkkuwal,N,,,,,
murYiyatippu	N_NN	I-NP	0	murY	mur	ippu	ppu	o	o	murYiyatippu,N,,,,,
c#4	QT_QTC	B-NP	0	0	0	0	0	o	B-COUNT	4,num,,,,,,
payafkaravAwikalY	N_NN	I-NP	0	paya	pay	kalY	alY	o	o	payafkaravAwi,N,,pl,,,
pali	N_NN	I-NP	0	0	pal	0	ali	o	o	pali,N,,,,,
c#pAkwAw	N_NNP	B-NP	1	pAkw	pAk	kwAw	wAw	o	B-PLACE	pAkwAw,N,,,,,
c#IrAk	N_NNP	I-NP	1	0	IrA	0	rAk	o	B-LOCATION	IrAk,N,,,,,
nAttil	N_NN	I-NP	0	nAtt	nAt	ttil	til	o	o	nAtu,N,il-LOC,,,,
c#E.eVs.	N_NNP	B-NP	1	E.eV	E.e	eVs.	Vs.	o	B-ORGANIZATION	E.eVs.,unk,,,,,,
payafkaravAwikalY	N_NN	I-NP	0	paya	pay	kalY	alY	o	o	payafkaravAwi,N,,pl,,,
Awikkam	N_NN	B-NP	0	Awik	Awi	kkam	kam	o	o	Awikkam,N,,,,,
ceVluwwi	V_VM_VNF_VBN	B-VGF	0	ceVl	ceV	uwwi	wwi	o	o	ceVluwwu,V,,,,,VBP
varukinYrYanYar	V_VM_VF	I-VGF	0	varu	var	nYar	Yar	o	o	vA,V,PRESENT,pl,3,c,
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

avarkalYukku	PR_PRP	B-NP	0	avar	ava	ukku	kku	{INF}	o	avar,PN,ukku-DAT,pl,,mf,
eVwirAka	RB	B-RBP	0	eVwi	eVw	rAka	Aka	o	o	eVwir,N,Aka-ADV,,,,
ulYnAttu	N_NN	B-NP	0	ulYn	ulY	Attu	ttu	o	o	ulYnAtu,N,u-GEN,,,,
patEyinYarutanY	N_NN	I-NP	0	patE	pat	tanY	anY	o	o	patEyinYar,N,utanY-SOC,,,,
n#ameVrikka	V_VM_VNF_INF	B-VGNF	0	ameV	ame	ikka	kka	{/INF}	o	ameVrikka,ADJ,,,,,
