c#paNtA	N_NNP	B-NP	1	paNt	paN	aNtA	NtA	{NF}	B-PLACE	paNtA,N,,,,,
,	RD_PUNC	I-NP	0	0	0	0	0	o	o	&comma;,punc,,,,,
c#mawwiya	JJ	B-NP	0	maww	maw	wiya	iya	o	B-LOCATION	mawwiya,ADJ,,,,,
pirawecawwinY	N_NN	I-NP	0	pira	pir	winY	inY	o	I-LOCATION	pirawecam,N,inY-GEN,,,,
c#japalpUril	N_NNP	B-NP	1	japa	jap	Uril	ril	o	B-PLACE	japalpUr,N,il-LOC,,,,
irunwu	V_VM_VNF_VBN	B-VGNF	0	irun	iru	unwu	nwu	{/NF}	o	iru,V,,,,,VBP
c#teVllikku	N_NNP	B-NP	1	teVl	teV	ikku	kku	{RP}	B-PLACE	teVlli,N,kku-DAT,,,,
purYappatta	V_VM_VNF_RP	B-VGNF	0	purY	pur	atta	tta	o	o	purYappatu,V,PAST,,,,RP
makAkavucal	N_NN	B-NP	0	makA	mak	ucal	cal	{MCL}	o	makAkavucal,unk,,,,,,
eVkspiras	N_NN	I-NP	0	eVks	eVk	iras	ras	o	o	eVkspiras,N,,,,,
c#reVyil	N_NN	I-NP	0	reVy	reV	Vyil	yil	{/RP}	B-LOCOMOTIVE	reVyil,N,,,,,
nerYrYu	N_NN	B-NP	0	nerY	ner	YrYu	rYu	o	o	nerYrYu,ADV,,,,,
awikAlEyil	N_NN	I-NP	0	awik	awi	Eyil	yil	o	o	awikAlE,N,il-LOC,,,,
uwwarapirawecawwinY	N_NNP	B-NP	1	uwwa	uww	winY	inY	o	B-STATE	uwwarapirawecam,N,inY-GEN,,,,
c#makopA	N_NNP	I-NP	1	mako	mak	kopA	opA	o	B-PLACE	makopA,unk,,,,,,
pakuwikku	N_NN	I-NP	0	paku	pak	ikku	kku	o	o	pakuwi,N,kku-DAT,,,,
aruke	RB	B-VGF	0	aruk	aru	ruke	uke	o	o	aruku,N,,,,,
ceVnYrYu	V_VM_VNF_VBN	I-VGF	0	ceVn	ceV	YrYu	rYu	o	o	ceVl,V,,,,,VBP
koVNtirunwawu	V_VM_VF	I-VGF	0	koVN	koV	wawu	awu	o	o	koVNtiru,V,PAST,sg,3,n,RP-PRP
.	RD_PUNC	I-VGF	0	0	0	0	0	{/MCL}	o	&dot;,punc,,,,,,

awikAlE	N_NN	B-NP	0	awik	awi	kAlE	AlE	{MCL}	o	awikAlE,N,,,,,
neram	N_NN	I-NP	0	nera	ner	eram	ram	o	o	neram,N,,,,,
eVnYpawAl	CC_CCS	B-CCP	0	eVnY	eVn	awAl	wAl	o	o	eVnY,V,FUTURE,,,,COND
c#reVyilil	N_NN	B-NP	0	reVy	reV	ilil	lil	o	B-LOCOMOTIVE	reVyil,N,il-LOC,,,,
